ts,name,x,y,z
28248.2,right_thumb,0.580986,0.564052,-0.072107
28248.2,right_index,0.596948,0.353157,-0.081892
28248.2,right_middle,0.667015,0.265380,-0.081226
28248.2,right_ring,0.736212,0.270010,-0.094887
28248.2,right_pinky,0.853607,0.356594,-0.100168
28290.8,right_thumb,0.580748,0.564113,-0.072092
28290.8,right_index,0.596779,0.353374,-0.081961
28290.8,right_middle,0.666687,0.265530,-0.081312
28290.8,right_ring,0.735867,0.269998,-0.095025
28290.8,right_pinky,0.853276,0.356554,-0.100301
28324.1,right_thumb,0.580550,0.564271,-0.071993
28324.1,right_index,0.596593,0.353601,-0.081907
28324.1,right_middle,0.666470,0.265792,-0.081266
28324.1,right_ring,0.735568,0.270038,-0.095048
28324.1,right_pinky,0.852981,0.356551,-0.100344
28349,right_thumb,0.580438,0.564358,-0.071921
28349,right_index,0.596514,0.353762,-0.081880
28349,right_middle,0.666352,0.265968,-0.081239
28349,right_ring,0.735351,0.270054,-0.095072
28349,right_pinky,0.852791,0.356535,-0.100382
28374.1,right_thumb,0.580400,0.564490,-0.071972
28374.1,right_index,0.596472,0.353819,-0.081973
28374.1,right_middle,0.666285,0.266103,-0.081344
28374.1,right_ring,0.735232,0.270102,-0.095211
28374.1,right_pinky,0.852730,0.356571,-0.100510
28399.1,right_thumb,0.580439,0.564620,-0.072169
28399.1,right_index,0.596499,0.353842,-0.082139
28399.1,right_middle,0.666229,0.266125,-0.081472
28399.1,right_ring,0.735195,0.270127,-0.095312
28399.1,right_pinky,0.852762,0.356613,-0.100585
28424,right_thumb,0.580463,0.564707,-0.072230
28424,right_index,0.596524,0.353852,-0.082097
28424,right_middle,0.666276,0.266134,-0.081365
28424,right_ring,0.735254,0.270159,-0.095169
28424,right_pinky,0.852773,0.356677,-0.100415
28439.8,right_thumb,0.580494,0.564799,-0.072333
28439.8,right_index,0.596536,0.353847,-0.082145
28439.8,right_middle,0.666282,0.266115,-0.081389
28439.8,right_ring,0.735268,0.270153,-0.095179
28439.8,right_pinky,0.852784,0.356708,-0.100420
28465.8,right_thumb,0.580601,0.564925,-0.072358
28465.8,right_index,0.596555,0.353884,-0.082186
28465.8,right_middle,0.666259,0.266205,-0.081447
28465.8,right_ring,0.735240,0.270169,-0.095287
28465.8,right_pinky,0.852841,0.356736,-0.100545
28499,right_thumb,0.580700,0.565071,-0.072504
28499,right_index,0.596644,0.353935,-0.082332
28499,right_middle,0.666276,0.266077,-0.081514
