ts,name,x,y,z
9789.6,right_thumb,0.460175,0.548288,-0.110340
9789.6,right_index,0.450469,0.225885,-0.132386
9789.6,right_middle,0.531317,0.079507,-0.143130
9789.6,right_ring,0.635223,0.066830,-0.166032
9789.6,right_pinky,0.832889,0.137497,-0.161852
9814.5,right_thumb,0.460119,0.548315,-0.110167
9814.5,right_index,0.450398,0.226012,-0.132297
9814.5,right_middle,0.531332,0.079529,-0.143020
9814.5,right_ring,0.635115,0.066928,-0.165933
9814.5,right_pinky,0.832801,0.137552,-0.161740
9830.5,right_thumb,0.460075,0.548340,-0.110114
9830.5,right_index,0.450393,0.226076,-0.132228
9830.5,right_middle,0.531346,0.079548,-0.142945
9830.5,right_ring,0.635053,0.067005,-0.165854
9830.5,right_pinky,0.832733,0.137556,-0.161665
9847.9,right_thumb,0.460013,0.548322,-0.110130
9847.9,right_index,0.450401,0.226100,-0.132258
9847.9,right_middle,0.531347,0.079594,-0.142970
9847.9,right_ring,0.634926,0.067059,-0.165902
9847.9,right_pinky,0.832678,0.137590,-0.161711
9872,right_thumb,0.459953,0.548300,-0.110258
9872,right_index,0.450378,0.226220,-0.132315
9872,right_middle,0.531298,0.079707,-0.143002
9872,right_ring,0.634844,0.067112,-0.165903
9872,right_pinky,0.832501,0.137624,-0.161699
9889.6,right_thumb,0.459932,0.548346,-0.110179
9889.6,right_index,0.450321,0.226334,-0.132249
9889.6,right_middle,0.531229,0.079745,-0.142916
9889.6,right_ring,0.634758,0.067196,-0.165817
9889.6,right_pinky,0.832318,0.137615,-0.161568
9905.9,right_thumb,0.459830,0.548366,-0.110183
9905.9,right_index,0.450268,0.226426,-0.132162
9905.9,right_middle,0.531181,0.079869,-0.142793
9905.9,right_ring,0.634584,0.067254,-0.165720
9905.9,right_pinky,0.832216,0.137626,-0.161492
9922.4,right_thumb,0.459741,0.548403,-0.110146
9922.4,right_index,0.450206,0.226542,-0.132041
9922.4,right_middle,0.531128,0.080063,-0.142655
9922.4,right_ring,0.634459,0.067321,-0.165607
9922.4,right_pinky,0.832063,0.137661,-0.161406
9939.4,right_thumb,0.459732,0.548406,-0.110145
9939.4,right_index,0.450173,0.226706,-0.131976
9939.4,right_middle,0.531102,0.080215,-0.142589
9939.4,right_ring,0.634435,0.067402,-0.165526
9939.4,right_pinky,0.831939,0.137781,-0.161324
9955.4,right_thumb,0.459722,0.548435,-0.110070
9955.4,right_index,0.450156,0.226843,-0.131918
9955.4,right_middle,0.531045,0.080275,-0.142525
9955.4,right_ring,0.634393,0.067459,-0.165491
9955.4,right_pinky,0.831867,0.137847,-0.161274
9972.2,right_thumb,0.459764,0.548421,-0.110051
9972.2,right_index,0.450261,0.226849,-0.131817
9972.2,right_middle,0.531152,0.080424,-0.142489
9972.2,right_ring,0.634484,0.067585,-0.165457
9972.2,right_pinky,0.831889,0.137976,-0.161252
9989.6,right_thumb,0.459863,0.548447,-0.110094
9989.6,right_index,0.450314,0.226837,-0.131898
9989.6,right_middle,0.531203,0.080462,-0.142549
9989.6,right_ring,0.634498,0.067734,-0.165525
9989.6,right_pinky,0.831929,0.138093,-0.161320
10006.2,right_thumb,0.460002,0.548436,-0.110125
10006.2,right_index,0.450464,0.226832,-0.131880
10006.2,right_middle,0.531431,0.080567,-0.142562
10006.2,right_ring,0.634746,0.067850,-0.165498
10006.2,right_pinky,0.832035,0.138218,-0.161250
10031.2,right_thumb,0.460283,0.548394,-0.110316
10031.2,right_index,0.450646,0.226717,-0.132191
10031.2,right_middle,0.531674,0.080572,-0.142772
10031.2,right_ring,0.635052,0.067976,-0.165648
10031.2,right_pinky,0.832236,0.138469,-0.161394
10047.9,right_thumb,0.460460,0.548268,-0.110331
10047.9,right_index,0.450795,0.226626,-0.132241
10047.9,right_middle,0.531807,0.080535,-0.142755
10047.9,right_ring,0.635173,0.067959,-0.165598
10047.9,right_pinky,0.832336,0.138523,-0.161346
10064.5,right_thumb,0.460567,0.548134,-0.110283
10064.5,right_index,0.450979,0.226487,-0.132196
10064.5,right_middle,0.531933,0.080495,-0.142703
10064.5,right_ring,0.635223,0.067929,-0.165595
10064.5,right_pinky,0.832466,0.138566,-0.161365
10081.2,right_thumb,0.460680,0.548037,-0.110374
10081.2,right_index,0.451130,0.226465,-0.132331
10081.2,right_middle,0.532092,0.080435,-0.142811
10081.2,right_ring,0.635332,0.067911,-0.165687
10081.2,right_pinky,0.832555,0.138596,-0.161438
10097.9,right_thumb,0.460793,0.547979,-0.110438
10097.9,right_index,0.451273,0.226497,-0.132448
10097.9,right_middle,0.532290,0.080428,-0.142918
10097.9,right_ring,0.635480,0.067913,-0.165800
10097.9,right_pinky,0.832674,0.138716,-0.161538
10114.6,right_thumb,0.460872,0.547922,-0.110408
10114.6,right_index,0.451356,0.226511,-0.132446
10114.6,right_middle,0.532345,0.080455,-0.142915
10114.6,right_ring,0.635499,0.068012,-0.165794
10114.6,right_pinky,0.832693,0.138732,-0.161514
10131.3,right_thumb,0.460922,0.547888,-0.110323
10131.3,right_index,0.451433,0.226532,-0.132369
10131.3,right_middle,0.532366,0.080476,-0.142842
10131.3,right_ring,0.635505,0.068122,-0.165724
10131.3,right_pinky,0.832672,0.138717,-0.161434
10147.9,right_thumb,0.460931,0.547918,-0.110244
10147.9,right_index,0.451467,0.226608,-0.132253
10147.9,right_middle,0.532461,0.080552,-0.142719
10147.9,right_ring,0.635458,0.068211,-0.165657
10147.9,right_pinky,0.832715,0.138808,-0.161376
10172.9,right_thumb,0.461035,0.547998,-0.110034
10172.9,right_index,0.451581,0.226735,-0.132038
10172.9,right_middle,0.532638,0.080749,-0.142586
10172.9,right_ring,0.635549,0.068440,-0.165582
10172.9,right_pinky,0.832698,0.139053,-0.161326
10189.5,right_thumb,0.461123,0.547989,-0.109883
10189.5,right_index,0.451655,0.226840,-0.131956
10189.5,right_middle,0.532730,0.080836,-0.142505
10189.5,right_ring,0.635549,0.068569,-0.165527
10189.5,right_pinky,0.832693,0.139158,-0.161273
10206.2,right_thumb,0.461194,0.547977,-0.109949
