ts,name,x,y,z
6354.4,right_thumb,0.548316,0.502898,-0.065469
6354.4,right_index,0.535366,0.271987,-0.080974
6354.4,right_middle,0.594848,0.156578,-0.089396
6354.4,right_ring,0.668801,0.145816,-0.106042
6354.4,right_pinky,0.803408,0.193015,-0.112420
6371,right_thumb,0.548096,0.502970,-0.065485
6371,right_index,0.534943,0.272007,-0.080980
6371,right_middle,0.594576,0.156542,-0.089427
6371,right_ring,0.668621,0.145789,-0.106099
6371,right_pinky,0.803310,0.193166,-0.112463
6396,right_thumb,0.547713,0.503334,-0.065438
6396,right_index,0.534336,0.272067,-0.080907
6396,right_middle,0.594125,0.156446,-0.089386
6396,right_ring,0.668328,0.145603,-0.106113
6396,right_pinky,0.803166,0.193098,-0.112527
6412.7,right_thumb,0.547460,0.503451,-0.065640
6412.7,right_index,0.533852,0.272188,-0.081148
6412.7,right_middle,0.593806,0.156456,-0.089634
6412.7,right_ring,0.668106,0.145605,-0.106346
6412.7,right_pinky,0.803033,0.193291,-0.112695
6429.3,right_thumb,0.547031,0.503718,-0.065763
6429.3,right_index,0.533405,0.272297,-0.081309
6429.3,right_middle,0.593434,0.156472,-0.089797
6429.3,right_ring,0.667848,0.145523,-0.106531
6429.3,right_pinky,0.802889,0.193312,-0.112907
6446,right_thumb,0.546677,0.503965,-0.065925
6446,right_index,0.532884,0.272437,-0.081484
6446,right_middle,0.592935,0.156524,-0.090021
6446,right_ring,0.667436,0.145537,-0.106783
6446,right_pinky,0.802678,0.193503,-0.113116
6470.4,right_thumb,0.546055,0.504495,-0.066178
6470.4,right_index,0.532236,0.272677,-0.081754
6470.4,right_middle,0.592338,0.156560,-0.090286
6470.4,right_ring,0.666877,0.145574,-0.107055
6470.4,right_pinky,0.802364,0.193685,-0.113414
6487.6,right_thumb,0.545629,0.504762,-0.066205
6487.6,right_index,0.531701,0.272768,-0.081759
6487.6,right_middle,0.591772,0.156661,-0.090354
6487.6,right_ring,0.666345,0.145647,-0.107177
6487.6,right_pinky,0.802076,0.193923,-0.113514
6504.3,right_thumb,0.545222,0.505103,-0.066195
6504.3,right_index,0.531178,0.272940,-0.081753
6504.3,right_middle,0.591275,0.156717,-0.090393
6504.3,right_ring,0.665884,0.145715,-0.107270
6504.3,right_pinky,0.801803,0.194056,-0.113641
6520.9,right_thumb,0.544820,0.505574,-0.066309
6520.9,right_index,0.530613,0.273100,-0.081935
6520.9,right_middle,0.590644,0.156812,-0.090596
6520.9,right_ring,0.665381,0.145783,-0.107493
6520.9,right_pinky,0.801467,0.194340,-0.113780
6546.1,right_thumb,0.544271,0.506179,-0.066373
6546.1,right_index,0.529908,0.273351,-0.082046
6546.1,right_middle,0.589909,0.157060,-0.090767
6546.1,right_ring,0.664639,0.145993,-0.107714
6546.1,right_pinky,0.800954,0.194893,-0.113980
6562.7,right_thumb,0.543897,0.506548,-0.066375
6562.7,right_index,0.529477,0.273523,-0.082061
6562.7,right_middle,0.589446,0.157225,-0.090883
6562.7,right_ring,0.664180,0.146136,-0.107901
6562.7,right_pinky,0.800618,0.195152,-0.114189
6579.4,right_thumb,0.543462,0.506971,-0.066379
6579.4,right_index,0.528953,0.273823,-0.082112
6579.4,right_middle,0.588939,0.157459,-0.090957
6579.4,right_ring,0.663657,0.146307,-0.108031
6579.4,right_pinky,0.800207,0.195475,-0.114312
6596.1,right_thumb,0.543038,0.507379,-0.066397
6596.1,right_index,0.528461,0.274077,-0.082169
6596.1,right_middle,0.588455,0.157668,-0.091025
6596.1,right_ring,0.663151,0.146441,-0.108148
6596.1,right_pinky,0.799798,0.195731,-0.114408
6612.3,right_thumb,0.542545,0.507747,-0.066327
6612.3,right_index,0.528025,0.274281,-0.082096
6612.3,right_middle,0.587883,0.157978,-0.090999
6612.3,right_ring,0.662417,0.146777,-0.108188
6612.3,right_pinky,0.799061,0.195982,-0.114472
6629.3,right_thumb,0.542155,0.508048,-0.066181
6629.3,right_index,0.527514,0.274600,-0.081979
6629.3,right_middle,0.587361,0.158256,-0.090879
6629.3,right_ring,0.661745,0.147060,-0.108085
6629.3,right_pinky,0.798552,0.196323,-0.114439
6646,right_thumb,0.541650,0.508556,-0.066079
6646,right_index,0.527144,0.274808,-0.081915
6646,right_middle,0.586715,0.158597,-0.090934
6646,right_ring,0.660916,0.147551,-0.108218
6646,right_pinky,0.797793,0.196756,-0.114592
6662.6,right_thumb,0.541132,0.508899,-0.065960
6662.6,right_index,0.526665,0.275098,-0.081815
6662.6,right_middle,0.586158,0.158926,-0.090859
6662.6,right_ring,0.660241,0.147934,-0.108181
6662.6,right_pinky,0.797093,0.197249,-0.114591
6687.7,right_thumb,0.540334,0.509568,-0.065685
6687.7,right_index,0.525849,0.275694,-0.081545
6687.7,right_middle,0.585092,0.159435,-0.090704
6687.7,right_ring,0.658857,0.148633,-0.108139
6687.7,right_pinky,0.795840,0.197769,-0.114576
6704.3,right_thumb,0.539834,0.510115,-0.065422
6704.3,right_index,0.525229,0.276220,-0.081282
6704.3,right_middle,0.584574,0.159739,-0.090419
6704.3,right_ring,0.658133,0.148981,-0.107889
6704.3,right_pinky,0.795086,0.198290,-0.114382
6721,right_thumb,0.539149,0.510632,-0.065322
6721,right_index,0.524705,0.276563,-0.081121
6721,right_middle,0.583869,0.160160,-0.090350
6721,right_ring,0.657225,0.149483,-0.107900
6721,right_pinky,0.794362,0.198694,-0.114424
6737,right_thumb,0.538601,0.511330,-0.065320
6737,right_index,0.524040,0.277141,-0.081109
6737,right_middle,0.583193,0.160629,-0.090297
6737,right_ring,0.656361,0.149956,-0.107864
6737,right_pinky,0.793370,0.199355,-0.114454
6754.4,right_thumb,0.538059,0.511950,-0.065351
6754.4,right_index,0.523253,0.277680,-0.081053
6754.4,right_middle,0.582482,0.161039,-0.090174
6754.4,right_ring,0.655634,0.150423,-0.107707
6754.4,right_pinky,0.792488,0.200155,-0.114341
6779.3,right_thumb,0.537081,0.512766,-0.065304
6779.3,right_index,0.522186,0.278637,-0.080998
6779.3,right_middle,0.581502,0.161792,-0.090032
6779.3,right_ring,0.654604,0.151129,-0.107545
6779.3,right_pinky,0.791168,0.200962,-0.114245
6796,right_thumb,0.536468,0.513247,-0.065185
6796,right_index,0.521444,0.279259,-0.080858
6796,right_middle,0.580853,0.162257,-0.089841
6796,right_ring,0.653954,0.151479,-0.107371
6796,right_pinky,0.790421,0.201549,-0.114123
6812,right_thumb,0.535937,0.513790,-0.065081
6812,right_index,0.520676,0.279814,-0.080721
6812,right_middle,0.580310,0.162645,-0.089698
6812,right_ring,0.653418,0.151883,-0.107228
6812,right_pinky,0.789630,0.202108,-0.114035
6829.1,right_thumb,0.535381,0.514333,-0.064913
6829.1,right_index,0.519911,0.280367,-0.080527
6829.1,right_middle,0.579789,0.163029,-0.089513
6829.1,right_ring,0.652868,0.152278,-0.107061
6829.1,right_pinky,0.788858,0.202630,-0.113930
6854.4,right_thumb,0.534671,0.514962,-0.064827
6854.4,right_index,0.519079,0.280939,-0.080480
6854.4,right_middle,0.579157,0.163425,-0.089473
6854.4,right_ring,0.652214,0.152717,-0.106998
6854.4,right_pinky,0.787890,0.203370,-0.113926
6870.5,right_thumb,0.534276,0.515301,-0.064727
6870.5,right_index,0.518537,0.281329,-0.080408
6870.5,right_middle,0.578839,0.163710,-0.089409
6870.5,right_ring,0.651890,0.152960,-0.106931
6870.5,right_pinky,0.787317,0.203764,-0.113910
6887.6,right_thumb,0.533913,0.515576,-0.064571
6887.6,right_index,0.518136,0.281641,-0.080286
6887.6,right_middle,0.578506,0.163933,-0.089276
6887.6,right_ring,0.651536,0.153239,-0.106816
6887.6,right_pinky,0.786674,0.204144,-0.113869
6904.3,right_thumb,0.533567,0.515816,-0.064511
6904.3,right_index,0.517836,0.281831,-0.080231
6904.3,right_middle,0.578247,0.164173,-0.089233
6904.3,right_ring,0.651241,0.153476,-0.106768
6904.3,right_pinky,0.786112,0.204522,-0.113849
6921.1,right_thumb,0.533311,0.515953,-0.064503
6921.1,right_index,0.517585,0.282137,-0.080217
6921.1,right_middle,0.578054,0.164500,-0.089215
6921.1,right_ring,0.650937,0.153809,-0.106730
6921.1,right_pinky,0.785570,0.204837,-0.113851
6945.7,right_thumb,0.533041,0.516252,-0.064299
6945.7,right_index,0.517197,0.282509,-0.080066
6945.7,right_middle,0.577838,0.164857,-0.089001
6945.7,right_ring,0.650464,0.154225,-0.106547
6945.7,right_pinky,0.784996,0.205150,-0.113738
6962.7,right_thumb,0.532869,0.516456,-0.064272
6962.7,right_index,0.517002,0.282707,-0.080077
