ts,name,x,y,z
36671.3,left_pinky,0.258572,0.348240,-0.063757
36696.7,right_thumb,0.584396,0.540885,-0.046887
36696.7,right_index,0.598098,0.361243,-0.054171
36696.7,right_middle,0.649993,0.273526,-0.063203
36696.7,right_ring,0.708482,0.259581,-0.079838
36696.7,right_pinky,0.818140,0.296926,-0.088611
36696.7,left_thumb,0.426676,0.596287,-0.035355
36696.7,left_index,0.433825,0.415635,-0.044676
36696.7,left_middle,0.402512,0.329458,-0.045133
36696.7,left_ring,0.352301,0.309621,-0.059961
36696.7,left_pinky,0.255235,0.339173,-0.064499
36713.4,right_thumb,0.583595,0.539684,-0.045319
36713.4,right_index,0.597508,0.359428,-0.052524
36713.4,right_middle,0.649363,0.271243,-0.061437
36713.4,right_ring,0.707925,0.257261,-0.078232
36713.4,right_pinky,0.818041,0.295602,-0.087166
36713.4,left_thumb,0.426470,0.596191,-0.035164
36713.4,left_index,0.433544,0.412610,-0.044540
36713.4,left_middle,0.401983,0.324409,-0.044978
36713.4,left_ring,0.350936,0.305011,-0.059907
36713.4,left_pinky,0.252712,0.334808,-0.064519
36729.2,right_thumb,0.582726,0.540173,-0.044331
36729.2,right_index,0.596983,0.358883,-0.051680
36729.2,right_middle,0.649641,0.270889,-0.060371
36729.2,right_ring,0.708224,0.256157,-0.077290
36729.2,right_pinky,0.818753,0.294670,-0.086298
36729.2,left_thumb,0.426307,0.597951,-0.035161
36729.2,left_index,0.433127,0.411833,-0.044992
36729.2,left_middle,0.401331,0.320986,-0.045549
36729.2,left_ring,0.349344,0.302267,-0.060538
36729.2,left_pinky,0.249487,0.331894,-0.065280
36746.7,right_thumb,0.581997,0.540504,-0.042947
36746.7,right_index,0.596457,0.358662,-0.050718
36746.7,right_middle,0.649586,0.270158,-0.059306
36746.7,right_ring,0.708455,0.254821,-0.076429
36746.7,right_pinky,0.819390,0.294324,-0.085510
36746.7,left_thumb,0.426077,0.599702,-0.034686
36746.7,left_index,0.432662,0.411217,-0.044555
36746.7,left_middle,0.400571,0.318698,-0.045268
36746.7,left_ring,0.347558,0.300217,-0.060539
36746.7,left_pinky,0.245712,0.329891,-0.065445
36771.7,right_thumb,0.579793,0.543116,-0.042251
36771.7,right_index,0.593269,0.358498,-0.049574
36771.7,right_middle,0.647948,0.267357,-0.057365
36771.7,right_ring,0.707442,0.253847,-0.074695
36771.7,right_pinky,0.819867,0.293032,-0.083861
36771.7,left_thumb,0.425768,0.602475,-0.035063
36771.7,left_index,0.432166,0.410977,-0.045217
36771.7,left_middle,0.399515,0.316122,-0.046092
36771.7,left_ring,0.345271,0.297871,-0.061411
36771.7,left_pinky,0.239961,0.326831,-0.066365
36788.5,right_thumb,0.578280,0.544515,-0.041429
36788.5,right_index,0.591691,0.358104,-0.049085
36788.5,right_middle,0.647034,0.266775,-0.056936
36788.5,right_ring,0.706561,0.253246,-0.074356
36788.5,right_pinky,0.819827,0.292414,-0.083619
36788.5,left_thumb,0.425545,0.604029,-0.034895
36788.5,left_index,0.431831,0.410847,-0.044960
36788.5,left_middle,0.398804,0.315030,-0.045962
36788.5,left_ring,0.343691,0.296641,-0.061471
36788.5,left_pinky,0.236308,0.325614,-0.066504
